Index,country,friends_family_anxiety_depression
0,Albania,28.002811
1,Algeria,20.884764
2,Argentina,53.234257
3,Australia,51.28186
4,Austria,42.142483
5,Bahrain,45.928947
6,Bangladesh,22.883198
7,Belgium,42.672997
8,Benin,23.570368
9,Bolivia,52.80444
10,Bosnia and Herzegovina,29.264912
11,Brazil,61.725372
12,Bulgaria,47.124836
13,Burkina Faso,39.76687
14,Cambodia,22.219103
15,Cameroon,52.543953
16,Canada,58.324074
17,Chile,60.805218
18,China,21.913126
19,Colombia,51.28259
20,Congo,39.274155
21,Costa Rica,52.19483
22,Cote d'Ivoire,37.132656
23,Croatia,40.152596
24,Cyprus,41.691544
25,Czechia,35.30824
26,Denmark,53.188877
27,Dominican Republic,51.50571
28,Ecuador,56.73112
29,Egypt,35.42763
30,El Salvador,48.76258
31,Estonia,37.842278
32,Ethiopia,24.882984
33,Finland,40.43572
34,France,57.2112
35,Gabon,46.43156
36,Georgia,32.69218
37,Germany,52.195538
38,Ghana,35.92629
39,Greece,50.957996
40,Guinea,35.913353
41,High-income countries,44.07919
42,Hong Kong,21.18283
43,Hungary,37.402275
44,India,26.50521
45,Indonesia,29.187101
46,Iran,41.568317
47,Iraq,50.357956
48,Ireland,52.990223
49,Israel,23.652403
50,Italy,32.297306
51,Japan,31.678333
52,Jordan,39.43576
53,Kazakhstan,25.917171
54,Kenya,49.985973
55,Kosovo,25.93776
56,Kyrgyzstan,27.42716
57,Laos,21.14193
58,Latvia,38.76163
59,Lebanon,28.034252
60,Lithuania,17.998308
61,Malaysia,32.197147
62,Mali,28.650604
63,Malta,43.63387
64,Mauritius,47.314816
65,Mexico,43.785007
66,Moldova,29.51631
67,Mongolia,25.305897
68,Montenegro,28.49861
69,Morocco,37.85448
70,Myanmar,32.44353
71,Namibia,32.954784
72,Nepal,26.043339
73,Netherlands,51.989822
74,New Zealand,49.68552
75,Nicaragua,50.45718
76,Nigeria,27.819183
77,North Macedonia,35.004772
78,Norway,52.026684
79,Paraguay,36.995693
80,Peru,65.78001
81,Philippines,23.56175
82,Poland,35.588154
83,Portugal,50.559196
84,Romania,32.74364
85,Russia,37.334717
86,Saudi Arabia,38.68466
87,Senegal,38.488594
88,Serbia,29.346733
89,Slovakia,34.41396
90,Slovenia,26.944227
91,South Africa,33.93596
92,South Korea,23.660343
93,Spain,54.802452
94,Sri Lanka,21.16495
95,Sweden,53.63253
96,Switzerland,39.720978
97,Taiwan,28.140764
98,Tajikistan,35.822247
99,Tanzania,30.95429
100,Thailand,18.311497
101,Tunisia,51.430737
102,Turkey,29.034174
103,Uganda,30.808609
104,Ukraine,36.230305
105,United Arab Emirates,37.641083
106,United Kingdom,48.58014
107,United States,48.086033
108,Uruguay,50.816402
109,Uzbekistan,29.187244
110,Venezuela,60.228554
111,Vietnam,39.873585
112,Zambia,57.336536
113,Zimbabwe,45.03686
